,Date,Sales_Amount,Units_Sold,Product_Category,Product_Name,Revenue,Customer_Rating,Sales_Channel,,,,,,,
1830,01/03/2010,"£3,452.00",19,Electronics,Tablet,"£5,357.00",2,Online,,,,,,,
1834,01/07/2010,"£2,083.00",11,Computers,Laptop,"£5,361.00",3,In-Store,,,,,,,
1835,01/08/2010,"£18,314.00",28,Electronics,Tablet,"£5,362.00",3,In-Store,,,,,,,
1836,01/09/2010,"£11,838.00",77,Electronics,Tablet,"£5,363.00",2,Online,,,,,,,
1838,01/11/2010,"£17,945.00",62,Computers,Laptop,"£5,365.00",4,In-Store,,,,,,,
1840,13/01/2010,"£10,721.00",34,Mobile Phones,Smartphone,"£5,367.00",5,In-Store,,,,,,,
1843,16/01/2010,"£15,324.00",92,Mobile Phones,Smartphone,"£5,370.00",2,Online,,,,,,,
1845,18/01/2010,"£14,624.00",61,Electronics,Headphones,"£5,372.00",1,Online,,,,,,,
1848,21/01/2010,"£17,334.00",43,Electronics,Tablet,"£5,375.00",5,In-Store,,,,,,,
1851,24/01/2010,"£12,835.00",58,Electronics,Tablet,"£5,378.00",3,In-Store,,,,,,,
1852,25/01/2010,"£10,970.00",80,Electronics,Tablet,"£5,379.00",3,In-Store,,,,,,,
1853,26/01/2010,"£17,754.00",55,Computers,Laptop,"£5,380.00",3,Online,,,,,,,
1856,29/01/2010,"£17,006.00",89,Computers,Laptop,"£5,383.00",1,Online,,,,,,,
1857,30/01/2010,"£15,933.00",73,Electronics,Tablet,"£5,384.00",3,In-Store,,,,,,,
1858,31/01/2010,"£19,633.00",22,Electronics,Headphones,"£5,385.00",2,In-Store,,,,,,,
1862,02/04/2010,"£12,479.00",95,Electronics,Headphones,"£5,389.00",4,In-Store,,,,,,,
1864,02/06/2010,"£14,982.00",76,Electronics,Tablet,"£5,391.00",3,In-Store,,,,,,,
1870,02/12/2010,"£12,002.00",65,Electronics,Headphones,"£5,397.00",2,In-Store,,,,,,,
1872,14/02/2010,"£16,559.00",27,Electronics,Headphones,"£5,399.00",2,Online,,,,,,,
1873,15/02/2010,"£10,874.00",46,Electronics,Tablet,"£5,400.00",1,Online,,,,,,,
1877,19/02/2010,"£19,447.00",91,Computers,Laptop,"£5,404.00",3,Online,,,,,,,
1879,21/02/2010,"£12,571.00",44,Electronics,Tablet,"£5,406.00",2,In-Store,,,,,,,
1881,23/02/2010,"£9,595.00",32,Mobile Phones,Smartphone,"£5,408.00",2,Online,,,,,,,
1882,24/02/2010,"£15,518.00",49,Computers,Laptop,"£5,409.00",3,In-Store,,,,,,,
1893,03/07/2010,"£7,529.00",11,Electronics,Tablet,"£5,420.00",3,Online,,,,,,,
1894,03/08/2010,"£18,435.00",84,Electronics,Headphones,"£5,421.00",4,In-Store,,,,,,,
1897,03/11/2010,"£6,852.00",2,Mobile Phones,Smartphone,"£5,424.00",4,In-Store,,,,,,,
1898,03/12/2010,"£19,629.00",81,Computers,Laptop,"£5,425.00",5,In-Store,,,,,,,
1905,19/03/2010,"£10,106.00",34,Electronics,Headphones,"£5,432.00",5,Online,,,,,,,
1906,20/03/2010,"£6,604.00",15,Electronics,Tablet,"£5,433.00",5,Online,,,,,,,
1908,22/03/2010,"£12,316.00",17,Electronics,Headphones,"£5,435.00",3,Online,,,,,,,
1909,23/03/2010,"£16,087.00",47,Electronics,Headphones,"£5,436.00",5,In-Store,,,,,,,
1913,27/03/2010,"£14,222.00",97,Electronics,Headphones,"£5,440.00",1,Online,,,,,,,
1914,28/03/2010,"£14,230.00",67,Electronics,Tablet,"£5,441.00",4,In-Store,,,,,,,
1917,31/03/2010,"£11,806.00",65,Electronics,Tablet,"£5,444.00",4,In-Store,,,,,,,
1919,04/02/2010,£577.00,18,Mobile Phones,Smartphone,"£5,446.00",2,In-Store,,,,,,,
1921,04/04/2010,"£17,630.00",45,Electronics,Tablet,"£5,448.00",3,Online,,,,,,,
1922,04/05/2010,"£12,333.00",23,Computers,Laptop,"£5,449.00",1,Online,,,,,,,
1923,04/06/2010,"£11,996.00",50,Computers,Laptop,"£5,450.00",3,Online,,,,,,,
1929,04/12/2010,"£19,108.00",20,Electronics,Headphones,"£5,456.00",5,In-Store,,,,,,,
1930,13/04/2010,"£13,179.00",70,Mobile Phones,Smartphone,"£5,457.00",1,In-Store,,,,,,,
1934,17/04/2010,"£14,398.00",15,Electronics,Headphones,"£5,461.00",4,In-Store,,,,,,,
1935,18/04/2010,"£17,063.00",51,Electronics,Tablet,"£5,462.00",1,Online,,,,,,,
1937,20/04/2010,"£13,743.00",97,Electronics,Headphones,"£5,464.00",3,Online,,,,,,,
1940,23/04/2010,"£9,720.00",26,Mobile Phones,Smartphone,"£5,467.00",3,In-Store,,,,,,,
1941,24/04/2010,"£3,984.00",26,Mobile Phones,Smartphone,"£5,468.00",2,Online,,,,,,,
1943,26/04/2010,"£5,621.00",38,Electronics,Tablet,"£5,470.00",3,In-Store,,,,,,,
1951,05/04/2010,"£4,740.00",5,Electronics,Tablet,"£5,478.00",3,Online,,,,,,,
1954,05/07/2010,"£18,510.00",17,Electronics,Headphones,"£5,481.00",3,Online,,,,,,,
1958,05/11/2010,"£10,958.00",32,Electronics,Tablet,"£5,485.00",3,In-Store,,,,,,,
1959,05/12/2010,£714.00,35,Mobile Phones,Smartphone,"£5,486.00",4,In-Store,,,,,,,
1960,13/05/2010,"£11,375.00",84,Mobile Phones,Smartphone,"£5,487.00",1,Online,,,,,,,
1961,14/05/2010,"£15,608.00",72,Electronics,Headphones,"£5,488.00",3,In-Store,,,,,,,
1965,18/05/2010,"£10,318.00",43,Electronics,Headphones,"£5,492.00",5,In-Store,,,,,,,
1970,23/05/2010,"£12,095.00",62,Computers,Laptop,"£5,497.00",3,In-Store,,,,,,,
1972,25/05/2010,"£15,997.00",37,Computers,Laptop,"£5,499.00",2,Online,,,,,,,
1973,26/05/2010,"£17,011.00",44,Electronics,Tablet,"£5,500.00",3,In-Store,,,,,,,
1974,27/05/2010,"£6,840.00",21,Computers,Laptop,"£5,501.00",3,In-Store,,,,,,,
1976,29/05/2010,"£17,462.00",33,Electronics,Headphones,"£5,503.00",4,In-Store,,,,,,,
1978,31/05/2010,"£16,137.00",30,Electronics,Tablet,"£5,505.00",3,Online,,,,,,,
1979,06/01/2010,"£6,992.00",36,Electronics,Headphones,"£5,506.00",3,Online,,,,,,,
1981,06/03/2010,"£17,776.00",59,Mobile Phones,Smartphone,"£5,508.00",4,In-Store,,,,,,,
1982,06/04/2010,"£14,482.00",30,Mobile Phones,Smartphone,"£5,509.00",1,Online,,,,,,,
1983,06/05/2010,"£13,994.00",56,Electronics,Tablet,"£5,510.00",3,Online,,,,,,,
1984,06/06/2010,"£7,282.00",30,Computers,Laptop,"£5,511.00",5,In-Store,,,,,,,
1986,06/08/2010,"£10,600.00",36,Computers,Laptop,"£5,513.00",3,Online,,,,,,,
1988,06/10/2010,"£14,330.00",78,Electronics,Tablet,"£5,515.00",5,Online,,,,,,,
1989,06/11/2010,"£9,380.00",16,Electronics,Headphones,"£5,516.00",3,In-Store,,,,,,,
1993,15/06/2010,"£12,125.00",13,Electronics,Headphones,"£5,520.00",1,In-Store,,,,,,,
1997,19/06/2010,"£12,027.00",86,Electronics,Tablet,"£5,524.00",3,Online,,,,,,,
2001,23/06/2010,"£16,448.00",78,Computers,Laptop,"£5,528.00",3,Online,,,,,,,
2004,26/06/2010,"£13,758.00",36,Mobile Phones,Smartphone,"£5,531.00",2,In-Store,,,,,,,
2007,29/06/2010,"£12,014.00",40,Computers,Laptop,"£5,534.00",5,Online,,,,,,,
2008,30/06/2010,"£18,157.00",48,Mobile Phones,Smartphone,"£5,535.00",1,In-Store,,,,,,,
2011,07/03/2010,"£16,215.00",13,Computers,Laptop,"£5,538.00",4,In-Store,,,,,,,
2016,07/08/2010,"£11,988.00",57,Electronics,Headphones,"£5,543.00",1,Online,,,,,,,
2022,14/07/2010,"£4,422.00",37,Electronics,Tablet,"£5,549.00",1,Online,,,,,,,
2024,16/07/2010,"£2,234.00",29,Mobile Phones,Smartphone,"£5,551.00",1,In-Store,,,,,,,
2026,18/07/2010,"£13,206.00",13,Mobile Phones,Smartphone,"£5,553.00",1,Online,,,,,,,
2028,20/07/2010,"£16,605.00",11,Electronics,Headphones,"£5,555.00",5,Online,,,,,,,
2029,21/07/2010,"£12,980.00",70,Electronics,Tablet,"£5,556.00",3,In-Store,,,,,,,
2036,28/07/2010,"£12,763.00",23,Computers,Laptop,"£5,563.00",3,Online,,,,,,,
2037,29/07/2010,"£10,126.00",74,Mobile Phones,Smartphone,"£5,564.00",1,Online,,,,,,,
2038,30/07/2010,"£7,397.00",38,Mobile Phones,Smartphone,"£5,565.00",3,In-Store,,,,,,,
2040,08/01/2010,"£3,461.00",26,Computers,Laptop,"£5,567.00",4,Online,,,,,,,
2041,08/02/2010,"£5,507.00",28,Electronics,Headphones,"£5,568.00",3,In-Store,,,,,,,
2047,08/08/2010,"£1,769.00",35,Computers,Laptop,"£5,574.00",3,In-Store,,,,,,,
2049,08/10/2010,"£11,871.00",89,Electronics,Tablet,"£5,576.00",4,Online,,,,,,,
2051,08/12/2010,"£14,075.00",65,Electronics,Headphones,"£5,578.00",2,In-Store,,,,,,,
2056,17/08/2010,"£1,862.00",10,Computers,Laptop,"£5,583.00",4,Online,,,,,,,
2058,19/08/2010,"£10,574.00",56,Mobile Phones,Smartphone,"£5,585.00",4,Online,,,,,,,
2059,20/08/2010,"£17,874.00",93,Computers,Laptop,"£5,586.00",5,In-Store,,,,,,,
2060,21/08/2010,"£19,108.00",49,Mobile Phones,Smartphone,"£5,587.00",1,In-Store,,,,,,,
2061,22/08/2010,"£14,091.00",97,Electronics,Tablet,"£5,588.00",2,In-Store,,,,,,,
2064,25/08/2010,"£19,840.00",37,Electronics,Headphones,"£5,591.00",4,In-Store,,,,,,,
2068,29/08/2010,"£10,578.00",97,Computers,Laptop,"£5,595.00",3,Online,,,,,,,
2070,31/08/2010,"£11,836.00",96,Electronics,Tablet,"£5,597.00",2,In-Store,,,,,,,
2073,09/03/2010,"£18,546.00",43,Mobile Phones,Smartphone,"£5,600.00",5,Online,,,,,,,
2075,09/05/2010,"£8,341.00",35,Electronics,Headphones,"£5,602.00",4,Online,,,,,,,
2076,09/06/2010,"£17,500.00",64,Mobile Phones,Smartphone,"£5,603.00",3,Online,,,,,,,
2077,09/07/2010,"£7,712.00",34,Mobile Phones,Smartphone,"£5,604.00",3,In-Store,,,,,,,
2078,09/08/2010,"£17,055.00",78,Electronics,Headphones,"£5,605.00",3,In-Store,,,,,,,
2079,09/09/2010,"£18,472.00",99,Computers,Laptop,"£5,606.00",4,In-Store,,,,,,,
2080,09/10/2010,"£7,882.00",20,Computers,Laptop,"£5,607.00",4,Online,,,,,,,
2081,09/11/2010,"£17,965.00",46,Mobile Phones,Smartphone,"£5,608.00",1,In-Store,,,,,,,
2082,09/12/2010,"£7,197.00",5,Mobile Phones,Smartphone,"£5,609.00",3,In-Store,,,,,,,
2083,13/09/2010,"£9,437.00",33,Electronics,Headphones,"£5,610.00",1,Online,,,,,,,
2085,15/09/2010,"£8,961.00",16,Mobile Phones,Smartphone,"£5,612.00",3,In-Store,,,,,,,
2088,18/09/2010,"£7,871.00",9,Computers,Laptop,"£5,615.00",1,Online,,,,,,,
2091,21/09/2010,"£15,629.00",76,Mobile Phones,Smartphone,"£5,618.00",3,In-Store,,,,,,,
2092,22/09/2010,"£10,574.00",36,Computers,Laptop,"£5,619.00",3,Online,,,,,,,
2093,23/09/2010,"£18,188.00",57,Computers,Laptop,"£5,620.00",1,Online,,,,,,,
2094,24/09/2010,"£18,734.00",57,Electronics,Headphones,"£5,621.00",1,In-Store,,,,,,,
2101,10/01/2010,"£6,986.00",8,Computers,Laptop,"£5,628.00",1,Online,,,,,,,
2102,10/02/2010,"£13,749.00",32,Computers,Laptop,"£5,629.00",2,In-Store,,,,,,,
2103,10/03/2010,"£6,402.00",25,Electronics,Tablet,"£5,630.00",4,In-Store,,,,,,,
2104,10/04/2010,"£1,204.00",26,Mobile Phones,Smartphone,"£5,631.00",2,In-Store,,,,,,,
2108,10/08/2010,"£8,133.00",33,Computers,Laptop,"£5,635.00",1,Online,,,,,,,
2109,10/09/2010,"£18,988.00",98,Mobile Phones,Smartphone,"£5,636.00",1,In-Store,,,,,,,
2111,10/11/2010,£868.00,9,Computers,Laptop,"£5,638.00",1,Online,,,,,,,
2118,18/10/2010,"£19,338.00",62,Electronics,Tablet,"£5,645.00",3,In-Store,,,,,,,
2119,19/10/2010,"£16,960.00",53,Mobile Phones,Smartphone,"£5,646.00",2,Online,,,,,,,
2120,20/10/2010,"£18,575.00",36,Electronics,Headphones,"£5,647.00",3,In-Store,,,,,,,
2122,22/10/2010,"£6,489.00",33,Electronics,Tablet,"£5,649.00",3,In-Store,,,,,,,
2123,23/10/2010,"£15,180.00",27,Electronics,Tablet,"£5,650.00",2,In-Store,,,,,,,
2131,31/10/2010,"£10,174.00",29,Electronics,Headphones,"£5,658.00",1,Online,,,,,,,
2135,11/04/2010,"£14,940.00",21,Mobile Phones,Smartphone,"£5,662.00",2,In-Store,,,,,,,
2137,11/06/2010,"£15,346.00",67,Mobile Phones,Smartphone,"£5,664.00",4,In-Store,,,,,,,
2140,11/09/2010,"£3,935.00",22,Mobile Phones,Smartphone,"£5,667.00",5,Online,,,,,,,
2146,15/11/2010,"£5,667.00",29,Electronics,Headphones,"£5,673.00",3,In-Store,,,,,,,
2147,16/11/2010,"£17,223.00",87,Electronics,Tablet,"£5,674.00",5,In-Store,,,,,,,
2148,17/11/2010,"£11,649.00",64,Electronics,Tablet,"£5,675.00",3,In-Store,,,,,,,
2149,18/11/2010,"£12,985.00",53,Mobile Phones,Smartphone,"£5,676.00",2,In-Store,,,,,,,
2150,19/11/2010,"£13,237.00",90,Electronics,Headphones,"£5,677.00",5,Online,,,,,,,
2151,20/11/2010,"£17,592.00",94,Computers,Laptop,"£5,678.00",2,Online,,,,,,,
2155,24/11/2010,"£17,034.00",23,Electronics,Tablet,"£5,682.00",4,Online,,,,,,,
2159,28/11/2010,"£13,125.00",41,Electronics,Tablet,"£5,686.00",5,Online,,,,,,,
2160,29/11/2010,"£6,998.00",5,Electronics,Headphones,"£5,687.00",3,In-Store,,,,,,,
2162,12/01/2010,"£2,475.00",31,Electronics,Tablet,"£5,689.00",2,Online,,,,,,,
2167,12/06/2010,"£3,104.00",6,Electronics,Tablet,"£5,694.00",4,In-Store,,,,,,,
2168,12/07/2010,"£12,191.00",75,Mobile Phones,Smartphone,"£5,695.00",5,In-Store,,,,,,,
2170,12/09/2010,"£17,393.00",45,Electronics,Headphones,"£5,697.00",2,Online,,,,,,,
2174,13/12/2010,"£10,061.00",97,Mobile Phones,Smartphone,"£5,701.00",2,Online,,,,,,,
2176,15/12/2010,"£17,185.00",47,Electronics,Tablet,"£5,703.00",2,In-Store,,,,,,,
2177,16/12/2010,"£19,539.00",42,Electronics,Tablet,"£5,704.00",1,Online,,,,,,,
2180,19/12/2010,"£10,729.00",39,Electronics,Headphones,"£5,707.00",5,In-Store,,,,,,,
2181,20/12/2010,"£1,994.00",30,Mobile Phones,Smartphone,"£5,708.00",3,Online,,,,,,,
2182,21/12/2010,"£19,582.00",98,Mobile Phones,Smartphone,"£5,709.00",4,In-Store,,,,,,,
2184,23/12/2010,"£13,266.00",11,Electronics,Headphones,"£5,711.00",3,Online,,,,,,,
2189,28/12/2010,"£18,476.00",27,Electronics,Tablet,"£5,716.00",5,Online,,,,,,,
2193,01/01/2011,"£4,932.00",32,Electronics,Headphones,"£5,720.00",1,In-Store,,,,,,,
2194,01/02/2011,"£15,175.00",55,Electronics,Headphones,"£5,721.00",1,In-Store,,,,,,,
2195,01/03/2011,"£1,256.00",32,Electronics,Headphones,"£5,722.00",3,In-Store,,,,,,,
2198,01/06/2011,"£19,438.00",75,Electronics,Headphones,"£5,725.00",1,In-Store,,,,,,,
2199,01/07/2011,"£3,866.00",32,Mobile Phones,Smartphone,"£5,726.00",4,In-Store,,,,,,,
2200,01/08/2011,"£8,676.00",33,Electronics,Headphones,"£5,727.00",5,In-Store,,,,,,,
2201,01/09/2011,"£9,206.00",28,Mobile Phones,Smartphone,"£5,728.00",4,In-Store,,,,,,,
2203,01/11/2011,"£14,117.00",14,Electronics,Headphones,"£5,730.00",3,In-Store,,,,,,,
2205,13/01/2011,"£6,728.00",6,Electronics,Headphones,"£5,732.00",3,In-Store,,,,,,,
2209,17/01/2011,"£6,508.00",8,Electronics,Tablet,"£5,736.00",3,In-Store,,,,,,,
2211,19/01/2011,"£10,949.00",49,Electronics,Headphones,"£5,738.00",4,In-Store,,,,,,,
2216,24/01/2011,"£16,321.00",90,Computers,Laptop,"£5,743.00",4,In-Store,,,,,,,
2219,27/01/2011,"£12,605.00",59,Electronics,Headphones,"£5,746.00",3,In-Store,,,,,,,
2222,30/01/2011,"£6,365.00",6,Electronics,Tablet,"£5,749.00",5,Online,,,,,,,
2225,02/02/2011,"£8,610.00",4,Electronics,Tablet,"£5,752.00",2,In-Store,,,,,,,
2226,02/03/2011,"£7,945.00",27,Computers,Laptop,"£5,753.00",5,In-Store,,,,,,,
2228,02/05/2011,"£19,746.00",47,Mobile Phones,Smartphone,"£5,755.00",5,Online,,,,,,,
2230,02/07/2011,£983.00,1,Electronics,Tablet,"£5,757.00",5,In-Store,,,,,,,
2231,02/08/2011,"£9,449.00",26,Electronics,Tablet,"£5,758.00",1,Online,,,,,,,
2232,02/09/2011,"£19,611.00",26,Electronics,Tablet,"£5,759.00",2,In-Store,,,,,,,
2233,02/10/2011,£717.00,4,Computers,Laptop,"£5,760.00",4,Online,,,,,,,
2235,02/12/2011,"£19,070.00",11,Mobile Phones,Smartphone,"£5,762.00",2,Online,,,,,,,
2236,13/02/2011,"£15,389.00",31,Electronics,Tablet,"£5,763.00",3,In-Store,,,,,,,
2238,15/02/2011,"£14,514.00",55,Mobile Phones,Smartphone,"£5,765.00",5,In-Store,,,,,,,
2242,19/02/2011,"£13,667.00",12,Mobile Phones,Smartphone,"£5,769.00",2,Online,,,,,,,
2244,21/02/2011,"£8,286.00",30,Mobile Phones,Smartphone,"£5,771.00",4,In-Store,,,,,,,
2249,26/02/2011,"£18,415.00",80,Electronics,Headphones,"£5,776.00",1,In-Store,,,,,,,
2250,27/02/2011,"£15,295.00",93,Mobile Phones,Smartphone,"£5,777.00",5,Online,,,,,,,
2252,03/01/2011,"£15,116.00",43,Electronics,Tablet,"£5,779.00",4,In-Store,,,,,,,
2254,03/03/2011,"£11,900.00",83,Electronics,Headphones,"£5,781.00",1,In-Store,,,,,,,
2256,03/05/2011,"£9,352.00",15,Electronics,Tablet,"£5,783.00",3,Online,,,,,,,
2258,03/07/2011,"£1,267.00",38,Computers,Laptop,"£5,785.00",4,Online,,,,,,,
2259,03/08/2011,"£11,551.00",28,Computers,Laptop,"£5,786.00",5,In-Store,,,,,,,
2262,03/11/2011,"£7,086.00",39,Electronics,Tablet,"£5,789.00",1,In-Store,,,,,,,
2263,03/12/2011,"£18,673.00",75,Electronics,Headphones,"£5,790.00",2,Online,,,,,,,
2267,16/03/2011,"£10,819.00",36,Electronics,Tablet,"£5,794.00",1,Online,,,,,,,
2271,20/03/2011,"£17,589.00",97,Electronics,Tablet,"£5,798.00",4,In-Store,,,,,,,
2272,21/03/2011,"£19,144.00",41,Electronics,Tablet,"£5,799.00",2,In-Store,,,,,,,
2273,22/03/2011,"£11,434.00",60,Electronics,Headphones,"£5,800.00",3,Online,,,,,,,
2274,23/03/2011,"£4,342.00",1,Electronics,Headphones,"£5,801.00",4,In-Store,,,,,,,
2275,24/03/2011,"£8,418.00",27,Computers,Laptop,"£5,802.00",1,In-Store,,,,,,,
2280,29/03/2011,"£18,098.00",59,Computers,Laptop,"£5,807.00",2,In-Store,,,,,,,
2281,30/03/2011,"£1,750.00",33,Electronics,Headphones,"£5,808.00",1,In-Store,,,,,,,
2282,31/03/2011,"£5,321.00",13,Computers,Laptop,"£5,809.00",5,Online,,,,,,,
2283,04/01/2011,"£19,260.00",48,Electronics,Tablet,"£5,810.00",5,Online,,,,,,,
2287,04/05/2011,"£17,157.00",52,Electronics,Tablet,"£5,814.00",5,Online,,,,,,,
2290,04/08/2011,"£12,765.00",38,Electronics,Headphones,"£5,817.00",2,Online,,,,,,,
2292,04/10/2011,"£4,717.00",29,Electronics,Tablet,"£5,819.00",4,In-Store,,,,,,,
2293,04/11/2011,"£17,201.00",37,Electronics,Headphones,"£5,820.00",2,Online,,,,,,,
2296,14/04/2011,"£11,176.00",38,Mobile Phones,Smartphone,"£5,823.00",3,Online,,,,,,,
2297,15/04/2011,"£12,560.00",77,Computers,Laptop,"£5,824.00",3,Online,,,,,,,
2298,16/04/2011,"£18,127.00",88,Electronics,Tablet,"£5,825.00",1,In-Store,,,,,,,
2300,18/04/2011,"£8,975.00",35,Electronics,Headphones,"£5,827.00",3,Online,,,,,,,
2303,21/04/2011,"£14,774.00",85,Mobile Phones,Smartphone,"£5,830.00",3,In-Store,,,,,,,
2305,23/04/2011,"£14,756.00",55,Computers,Laptop,"£5,832.00",3,In-Store,,,,,,,
2306,24/04/2011,"£14,264.00",94,Electronics,Tablet,"£5,833.00",2,In-Store,,,,,,,
2310,28/04/2011,"£14,438.00",54,Mobile Phones,Smartphone,"£5,837.00",1,In-Store,,,,,,,
2313,05/01/2011,"£11,700.00",73,Electronics,Headphones,"£5,840.00",5,In-Store,,,,,,,
2314,05/02/2011,"£16,593.00",18,Electronics,Headphones,"£5,841.00",1,Online,,,,,,,
2315,05/03/2011,"£5,462.00",2,Computers,Laptop,"£5,842.00",2,In-Store,,,,,,,
2319,05/07/2011,"£14,944.00",59,Mobile Phones,Smartphone,"£5,846.00",2,Online,,,,,,,
2320,05/08/2011,"£1,546.00",37,Electronics,Tablet,"£5,847.00",5,Online,,,,,,,
2321,05/09/2011,"£19,190.00",82,Electronics,Headphones,"£5,848.00",3,Online,,,,,,,
2322,05/10/2011,"£19,489.00",36,Electronics,Tablet,"£5,849.00",5,In-Store,,,,,,,
2323,05/11/2011,"£13,914.00",41,Computers,Laptop,"£5,850.00",1,Online,,,,,,,
2324,05/12/2011,"£15,434.00",88,Mobile Phones,Smartphone,"£5,851.00",4,In-Store,,,,,,,
2327,15/05/2011,"£14,657.00",98,Mobile Phones,Smartphone,"£5,854.00",1,Online,,,,,,,
2328,16/05/2011,"£16,467.00",96,Electronics,Tablet,"£5,855.00",1,Online,,,,,,,
2329,17/05/2011,"£16,534.00",25,Mobile Phones,Smartphone,"£5,856.00",3,Online,,,,,,,
2333,21/05/2011,"£11,925.00",19,Computers,Laptop,"£5,860.00",1,In-Store,,,,,,,
2338,26/05/2011,"£1,705.00",12,Electronics,Headphones,"£5,865.00",4,Online,,,,,,,
2341,29/05/2011,"£18,635.00",76,Electronics,Tablet,"£5,868.00",3,In-Store,,,,,,,
2346,06/03/2011,"£18,548.00",20,Mobile Phones,Smartphone,"£5,873.00",3,In-Store,,,,,,,
2349,06/06/2011,"£9,566.00",11,Electronics,Headphones,"£5,876.00",2,In-Store,,,,,,,
2350,06/07/2011,"£19,299.00",40,Computers,Laptop,"£5,877.00",2,Online,,,,,,,
2351,06/08/2011,"£6,411.00",9,Electronics,Tablet,"£5,878.00",3,Online,,,,,,,
2352,06/09/2011,"£5,893.00",15,Computers,Laptop,"£5,879.00",4,In-Store,,,,,,,
2353,06/10/2011,"£15,549.00",88,Electronics,Headphones,"£5,880.00",1,In-Store,,,,,,,
2354,06/11/2011,"£11,015.00",22,Electronics,Tablet,"£5,881.00",5,Online,,,,,,,
2355,06/12/2011,"£18,928.00",73,Electronics,Tablet,"£5,882.00",3,In-Store,,,,,,,
2357,14/06/2011,"£17,857.00",89,Computers,Laptop,"£5,884.00",4,In-Store,,,,,,,
2358,15/06/2011,"£14,180.00",74,Electronics,Tablet,"£5,885.00",3,Online,,,,,,,
2359,16/06/2011,"£18,010.00",12,Mobile Phones,Smartphone,"£5,886.00",2,In-Store,,,,,,,
2360,17/06/2011,"£13,562.00",54,Electronics,Headphones,"£5,887.00",3,In-Store,,,,,,,
2362,19/06/2011,"£10,464.00",92,Mobile Phones,Smartphone,"£5,889.00",4,Online,,,,,,,
2366,23/06/2011,"£19,800.00",81,Computers,Laptop,"£5,893.00",4,In-Store,,,,,,,
2369,26/06/2011,"£11,945.00",14,Electronics,Headphones,"£5,896.00",3,In-Store,,,,,,,
2370,27/06/2011,"£15,211.00",49,Electronics,Headphones,"£5,897.00",3,In-Store,,,,,,,
2371,28/06/2011,"£19,286.00",12,Mobile Phones,Smartphone,"£5,898.00",1,Online,,,,,,,
2376,07/03/2011,"£17,680.00",27,Computers,Laptop,"£5,903.00",3,Online,,,,,,,
2381,07/08/2011,"£19,418.00",12,Electronics,Headphones,"£5,908.00",2,In-Store,,,,,,,
2383,07/10/2011,"£16,207.00",34,Electronics,Tablet,"£5,910.00",3,In-Store,,,,,,,
2384,07/11/2011,"£1,690.00",13,Computers,Laptop,"£5,911.00",4,Online,,,,,,,
2388,15/07/2011,"£11,879.00",58,Electronics,Tablet,"£5,915.00",3,Online,,,,,,,
2390,17/07/2011,"£8,745.00",13,Computers,Laptop,"£5,917.00",3,Online,,,,,,,
2393,20/07/2011,"£13,168.00",56,Computers,Laptop,"£5,920.00",1,In-Store,,,,,,,
2394,21/07/2011,"£19,714.00",19,Electronics,Headphones,"£5,921.00",4,Online,,,,,,,
2397,24/07/2011,"£5,908.00",20,Electronics,Headphones,"£5,924.00",4,In-Store,,,,,,,
2398,25/07/2011,"£19,191.00",18,Computers,Laptop,"£5,925.00",5,In-Store,,,,,,,
2402,29/07/2011,"£13,729.00",65,Electronics,Headphones,"£5,929.00",4,In-Store,,,,,,,
2405,08/01/2011,"£11,591.00",70,Computers,Laptop,"£5,932.00",4,In-Store,,,,,,,
2408,08/04/2011,"£18,771.00",59,Electronics,Headphones,"£5,935.00",3,Online,,,,,,,
2411,08/07/2011,"£13,381.00",80,Electronics,Headphones,"£5,938.00",4,Online,,,,,,,
2412,08/08/2011,"£10,926.00",23,Electronics,Headphones,"£5,939.00",4,In-Store,,,,,,,
2413,08/09/2011,"£14,952.00",23,Computers,Laptop,"£5,940.00",4,In-Store,,,,,,,
2417,13/08/2011,"£5,319.00",4,Computers,Laptop,"£5,944.00",3,Online,,,,,,,
2420,16/08/2011,"£10,167.00",91,Mobile Phones,Smartphone,"£5,947.00",1,In-Store,,,,,,,
2422,18/08/2011,£612.00,22,Electronics,Tablet,"£5,949.00",2,Online,,,,,,,
2425,21/08/2011,"£18,304.00",61,Computers,Laptop,"£5,952.00",4,In-Store,,,,,,,
2428,24/08/2011,"£19,126.00",86,Computers,Laptop,"£5,955.00",3,Online,,,,,,,
2429,25/08/2011,"£3,070.00",12,Electronics,Headphones,"£5,956.00",3,In-Store,,,,,,,
2435,31/08/2011,"£14,828.00",45,Computers,Laptop,"£5,962.00",2,In-Store,,,,,,,
2439,09/04/2011,"£15,288.00",83,Computers,Laptop,"£5,966.00",1,In-Store,,,,,,,
2440,09/05/2011,"£15,330.00",12,Mobile Phones,Smartphone,"£5,967.00",3,Online,,,,,,,
2443,09/08/2011,"£18,549.00",17,Computers,Laptop,"£5,970.00",5,Online,,,,,,,
2446,09/11/2011,"£17,909.00",79,Mobile Phones,Smartphone,"£5,973.00",3,Online,,,,,,,
2453,18/09/2011,"£15,930.00",56,Electronics,Tablet,"£5,980.00",3,Online,,,,,,,
2454,19/09/2011,"£1,763.00",39,Electronics,Tablet,"£5,981.00",1,Online,,,,,,,
2457,22/09/2011,"£16,684.00",81,Electronics,Headphones,"£5,984.00",5,Online,,,,,,,
